Timestamp,What type of music do you usually listen to at different times of the day? [Morning],What type of music do you usually listen to at different times of the day? [Afternoon],What type of music do you usually listen to at different times of the day? [Evening],What type of music do you usually listen to at different times of the day? [Night],What type of music do you prefer based on the weather?  [For Rainy Weather],What type of music do you prefer based on the weather?  [Non-Rainy Weather],What type of music do you prefer based on the temperature?  [When the temperature is high (above 30°C)],What type of music do you prefer based on the temperature?  [When the temperature is low],What type of music do you prefer based on the brightness of your environment?  [In dim light],What type of music do you prefer based on the brightness of your environment?  [In bright light]
05/10/2024 01:09:56,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 01:13:55,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)"
05/10/2024 01:15:06,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 01:16:33,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 01:29:31,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 09:01:07,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 10:48:52,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 10:52:46,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 10:53:25,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 10:53:42,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)"
